QueryID	Precision	Recall	F1score
701	0.34	0.34	0.34
702	0.82	0.82	0.82
704	0.66	0.66	0.66
705	0.58	0.58	0.58
706	0.9	0.9	0.9
707	0.78	0.78	0.78
708	0.74	0.74	0.74
709	0.92	0.92	0.92
711	0.76	0.76	0.76
712	0.6	0.6	0.6
713	0.92	0.92	0.92
714	0.78	0.78	0.78
715	0.76	0.76	0.76
716	0.8	0.8	0.8
722	0.62	0.62	0.62
723	0.74	0.74	0.74
724	0.78	0.78	0.78
725	0.82	0.82	0.82
727	0.86	0.86	0.86
729	0.88	0.88	0.88
730	0.68	0.68	0.68
733	0.9	0.9	0.9
735	0.52	0.52	0.52
737	0.94	0.94	0.94
738	0.7	0.7	0.7
739	0.74	0.74	0.74
740	0.58	0.58	0.58
741	0.8	0.8	0.8
743	0.86	0.86	0.86
745	0.74	0.74	0.74
746	0.74	0.74	0.74
747	0.42	0.42	0.42
749	0.84	0.84	0.84
750	0.86	0.86	0.86
751	0.76	0.76	0.76
752	0.98	0.98	0.98
753	0.76	0.76	0.76
755	0.72	0.72	0.72
757	0.86	0.86	0.86
760	0.66	0.66	0.66
761	0.84	0.84	0.84
763	0.58	0.58	0.58
770	0.82	0.82	0.82
771	0.94	0.94	0.94
772	0.9	0.9	0.9
776	0.78	0.78	0.78
782	1.0	1.0	1.0
792	0.88	0.88	0.88
794	0.82	0.82	0.82
795	0.66	0.66	0.66
798	0.84	0.84	0.84
801	0.86	0.86	0.86
802	0.84	0.84	0.84
804	0.76	0.76	0.76
806	0.72	0.72	0.72
808	0.62	0.62	0.62
810	0.86	0.86	0.86
811	0.94	0.94	0.94
812	0.88	0.88	0.88
816	0.94	0.94	0.94
817	0.9	0.9	0.9
818	0.72	0.72	0.72
820	0.76	0.76	0.76
821	0.7	0.7	0.7
822	0.62	0.62	0.62
824	0.64	0.64	0.64
825	0.56	0.56	0.56
826	0.7	0.7	0.7
829	0.32	0.32	0.32
830	0.7	0.7	0.7
831	0.86	0.86	0.86
834	0.8	0.8	0.8
835	0.82	0.82	0.82
836	0.92	0.92	0.92
837	0.66	0.66	0.66
838	0.82	0.82	0.82
841	0.9	0.9	0.9
843	0.82	0.82	0.82
846	0.86	0.86	0.86
847	0.52	0.52	0.52
849	0.86	0.86	0.86
850	0.8	0.8	0.8
Average	0.77	0.77	0.77
