QueryID	Original Query	Updated Query
701	describe history oil industry	describe history oil industry world important that decades well economic 
702	pearl farming operations actual farming operations described culturing pearls japanese pearl productions status pearl farming production	pearl farming operations actual farming operations described culturing pearls japanese pearl productions status pearl farming production producing particular making different produce various 
704	goals political views green party	goals political views green party politics parties agenda democratic ideas way 
705	identify efforts proposed undertaken world governments seek reduction iraqs foreign debt	identify efforts proposed undertaken world governments seek reduction iraqs foreign debt government economic significant establish financial concerned 
706	methods control type ii diabetes	methods control type ii diabetes method associated types controlling disease specific 
707	evidence aspirin help prevent cancer	evidence aspirin help prevent cancer risk cause disease preventing patients drugs 
708	sources slate stone decorative	sources slate stone decorative marble granite stones tile brick tiles 
709	limits regulations concerning jockey weight horse racing	limits regulations concerning jockey weight horse racing rules horses race certain rider limit 
711	security measures employed train stations due heightened security concerns	security measures employed train stations due heightened security concerns concern concerned increasing significant certain authorities 
712	actual examples pyramid schemes	actual examples pyramid schemes scheme example particular different various similar 
713	state maryland clean chesapeake bay	state maryland clean chesapeake bay virginia florida carolina ohio washington california 
714	restrictions placed older persons renewing drivers licenses	restrictions placed older persons renewing drivers licenses permit certain license permits those individuals 
715	organizations private governmental developing drugs combat schizophrenia	organizations private governmental developing drugs combat schizophrenia individuals drug institutions governments involved develop 
716	spammers arrested sued sending unsolicited e mail	spammers arrested sued sending unsolicited e mail e-mails emails spam e-mail mails sent 
722	ways iran support terrorism	ways iran support terrorism terrorist terrorists war terror Iran iraq 
723	governments definition executive privilege	governments definition executive privilege government authority governmental corporations responsibility corporate 
724	iran contra scandal consequences	iran contra scandal consequences repercussions terrorism crisis scandals war corruption 
725	cause lowered white blood cell count	cause lowered white blood cell count normal cells when causing even causes 
727	identify specific instances church arson	identify specific instances church arson particular identified whether certain identifying determine 
729	revelations whistle blowers concerning department defense	revelations whistle blowers concerning department defense investigation concerned investigations prosecution concern regarding 
730	possible complications potential dangers gastric bypass surgery	possible complications potential dangers gastric bypass surgery risks complication risk potentially surgeries possibility 
733	regulations regarding airline overbooking	regulations regarding airline overbooking airlines restrictions rules requirements policies policy 
735	condition afghan women better new government taliban	condition afghan women better new government taliban because people country they but even 
737	allegations made enrons culpability california energy crisis	allegations made enrons culpability california energy crisis concern government concerns consequences financial economic 
738	examples anthrax hoaxes	examples anthrax hoaxes hoax bioterrorism viruses frauds smallpox forgeries 
739	organization habitat humanity activities involved	organization habitat humanity activities involved efforts responsible organizations involvement responsibility importance 
740	regulates assisted living facilities maryland	regulates assisted living facilities maryland facility centers health providing services residential 
741	artificial intelligence	artificial intelligence human perception biological artifical scientific knowledge 
743	regulations considerations concerning registering freighter country	regulations considerations concerning registering freighter country concerns regarding concerned regard concern requirements 
745	identify doomsday cult name location world	identify doomsday cult name location world where same particular there that what 
746	jobs outsourced india	jobs outsourced india outsourcing outsource job mumbai bangalore chennai 
747	control oversight computer public libraries	control oversight computer public libraries library governmental programs system government systems 
749	people puerto rico state	people puerto rico state mexico america florida rica dominican americans 
750	senator john edwards positions womens issues pay equity abortion title ix violence women	senator john edwards positions womens issues pay equity abortion title ix violence women political health law civil education politics 
751	give information scrabble players scrabble played popular	give information scrabble players scrabble played popular play playing game games player even 
752	dams removed environmental impact	dams removed environmental impact impacts pollution significant ecological concern concerns 
753	programs schools prevent bullying students	programs schools prevent bullying students education school teachers educational student classroom 
755	history location scottish highland games united states	history location scottish highland games united states country american england america irish western 
757	show examples murals	show examples murals shows paintings mural illustrate exhibit sculptures 
760	statistics regarding american muslims mosques schools	statistics regarding american muslims mosques schools muslim religious islamic religion Muslims universities 
761	describe problems faced hmong immigrants united states	describe problems faced hmong immigrants united states citizens people country concerned nation immigrant 
