QueryID	Precision	Recall	F1score
701	0.12	0.12	0.12
702	0.72	0.72	0.72
704	0.44	0.44	0.44
705	0.58	0.58	0.58
706	0.82	0.82	0.82
707	0.76	0.76	0.76
708	0.74	0.74	0.74
709	0.92	0.92	0.92
711	0.66	0.66	0.66
712	0.6	0.6	0.6
713	0.92	0.92	0.92
714	0.78	0.78	0.78
715	0.72	0.72	0.72
716	0.8	0.8	0.8
722	0.58	0.58	0.58
723	0.56	0.56	0.56
724	0.78	0.78	0.78
725	0.76	0.76	0.76
727	0.86	0.86	0.86
729	0.88	0.88	0.88
730	0.68	0.68	0.68
733	0.9	0.9	0.9
735	0.52	0.52	0.52
737	0.92	0.92	0.92
738	0.7	0.7	0.7
739	0.46	0.46	0.46
740	0.46	0.46	0.46
741	0.68	0.68	0.68
743	0.72	0.72	0.72
745	0.74	0.74	0.74
746	0.74	0.74	0.74
747	0.36	0.36	0.36
749	0.72	0.72	0.72
750	0.88	0.88	0.88
751	0.7	0.7	0.7
752	0.92	0.92	0.92
753	0.76	0.76	0.76
755	0.72	0.72	0.72
757	0.74	0.74	0.74
760	0.64	0.64	0.64
761	0.84	0.84	0.84
763	0.54	0.54	0.54
770	0.72	0.72	0.72
771	0.94	0.94	0.94
772	0.76	0.76	0.76
776	0.76	0.76	0.76
782	0.96	0.96	0.96
792	0.16	0.16	0.16
794	0.84	0.84	0.84
795	0.66	0.66	0.66
798	0.82	0.82	0.82
801	0.82	0.82	0.82
802	0.84	0.84	0.84
804	0.74	0.74	0.74
806	0.72	0.72	0.72
808	0.62	0.62	0.62
810	0.86	0.86	0.86
811	0.9	0.9	0.9
812	0.88	0.88	0.88
816	0.94	0.94	0.94
817	0.9	0.9	0.9
818	0.72	0.72	0.72
820	0.76	0.76	0.76
821	0.68	0.68	0.68
822	0.62	0.62	0.62
824	0.64	0.64	0.64
825	0.56	0.56	0.56
826	0.7	0.7	0.7
829	0.32	0.32	0.32
830	0.66	0.66	0.66
831	0.84	0.84	0.84
834	0.78	0.78	0.78
835	0.82	0.82	0.82
836	0.9	0.9	0.9
837	0.62	0.62	0.62
838	0.8	0.8	0.8
841	0.9	0.9	0.9
843	0.8	0.8	0.8
846	0.86	0.86	0.86
847	0.52	0.52	0.52
849	0.88	0.88	0.88
850	0.78	0.78	0.78
Average	0.72	0.72	0.72
