QueryID	Precision	Recall	F1score
701	0.24	0.24	0.24
702	0.82	0.82	0.82
704	0.5	0.5	0.5
705	0.52	0.52	0.52
706	0.78	0.78	0.78
707	0.68	0.68	0.68
708	0.74	0.74	0.74
709	0.92	0.92	0.92
711	0.56	0.56	0.56
712	0.58	0.58	0.58
713	0.42	0.42	0.42
714	0.76	0.76	0.76
715	0.76	0.76	0.76
716	0.8	0.8	0.8
722	0.58	0.58	0.58
723	0.38	0.38	0.38
724	0.78	0.78	0.78
725	0.58	0.58	0.58
727	0.46	0.46	0.46
729	0.86	0.86	0.86
730	0.66	0.66	0.66
733	0.88	0.88	0.88
735	0.52	0.52	0.52
737	0.9	0.9	0.9
738	0.7	0.7	0.7
739	0.6	0.6	0.6
740	0.68	0.68	0.68
741	0.4	0.4	0.4
743	0.56	0.56	0.56
745	0.74	0.74	0.74
746	0.74	0.74	0.74
747	0.38	0.38	0.38
749	0.2	0.2	0.2
750	0.76	0.76	0.76
751	0.58	0.58	0.58
752	0.42	0.42	0.42
753	0.76	0.76	0.76
755	0.44	0.44	0.44
757	0.8	0.8	0.8
760	0.6	0.6	0.6
761	0.7	0.7	0.7
763	0.48	0.48	0.48
770	0.66	0.66	0.66
771	0.8	0.8	0.8
772	0.66	0.66	0.66
776	0.7	0.7	0.7
782	0.34	0.34	0.34
792	0.36	0.36	0.36
794	0.88	0.88	0.88
795	0.68	0.68	0.68
798	0.76	0.76	0.76
801	0.5	0.5	0.5
802	0.74	0.74	0.74
804	0.62	0.62	0.62
806	0.72	0.72	0.72
808	0.56	0.56	0.56
810	0.86	0.86	0.86
811	0.82	0.82	0.82
812	0.68	0.68	0.68
816	0.66	0.66	0.66
817	0.9	0.9	0.9
818	0.72	0.72	0.72
820	0.7	0.7	0.7
821	0.56	0.56	0.56
822	0.62	0.62	0.62
824	0.34	0.34	0.34
825	0.54	0.54	0.54
826	0.42	0.42	0.42
829	0.26	0.26	0.26
830	0.58	0.58	0.58
831	0.7	0.7	0.7
834	0.82	0.82	0.82
835	0.76	0.76	0.76
836	0.78	0.78	0.78
837	0.6	0.6	0.6
838	0.72	0.72	0.72
841	0.78	0.78	0.78
843	0.8	0.8	0.8
846	0.62	0.62	0.62
847	0.5	0.5	0.5
849	0.88	0.88	0.88
850	0.66	0.66	0.66
Average	0.64	0.64	0.64
